Company Name,Ticker,Q(1) Consensus Sales Est. (Mil.),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q0 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,12 Mo Trailing EPS,% Rating Downgrades ,% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),St. Dev. F1 / F1 Consensus,5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),F0 Consensus Est.,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Earnings ESP (Expected Surprise Prediction),F2 Consensus Est.,F1 Consensus Est.,% Rating Upgrades ,% Rating Hold,Beta,% Price Change (12 Weeks),% Price Change (4 Weeks),Last Close,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Shares Outstanding ,Avg Volume,Market Cap ,Sector,Optionable,Industry,Average Target Price,# of Brokers in Rating,Change in Avg Rec ,Rank in Industry (of ABR),% Rating Change - 4 Weeks,Industry Rank (of ABR),Current Avg Broker Rec,% Rating Strong Sell or Sell,# Rating Hold,# Rating Strong Sell or Sell,# Rating Downgrades ,# Rating Upgrades,# Rating Strong Buy or Buy,% Rating Strong Buy or Buy,Exchange,F(1) Consensus Sales Est. (Mil.),% Price Change (1 Week),Common Equity,Intangibles,Preferred Equity,Long Term Debt ,Current Assets ,Inventory ,Receivables ,Operating Margin 12 Mo,Net Margin,Inventory Turnover,Asset Utilization,5 Yr Hist. Div. Growth %,Book Value,Current Liabilities ,Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,Cost of Goods Sold,EBITDA ,Current Ratio,Debt/Total Capital,Debt/Equity Ratio,Quick Ratio,Cash Ratio,Turnover,Dividend ,5 Yr Div. Yield %,Current ROA (TTM),ROA (5 Yr Avg),ROI (5 Yr Avg),P/E (F1),Current ROI (TTM),Current ROE (TTM),St. Dev. Q2 / Q2 Consensus,Price/Cash Flow,P/E (F2),Price/Sales,Price/Book,P/E (Trailing 12 Months),Market Value/# Analysts,Long-Term Growth Consensus Est.,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,EBIT ,Pretax Income ,% Price Change (YTD),Annual Sales,PEG Ratio,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),S&P 500,
ST JUDE MEDICAL,STJ,1447.76403,-.25,-2.92,-2.53,0,1.04,2,1.81,.97,.97,3.76,3.94,0,-2.2,-1.38,.00155,2.93,-.04,103.79,105.93,5.82,8.05,3.74,1.01,.01,0,4.22,3.98,0,29.17,1.33,3.59,6.6,66.04,70.46,56.22,68.96,285.91,2449445,18881.7,Medical,YES,MED PRODUCTS,71.76,24,0,48,2.7,25,1.77,4.17,7,1,0,0,16,66.67,NYSE,5629.35595,2.74,4404,4435,0,3518,3910,708,1422,20.48,.13,2.1373,.54394,8.51669,14.56,1380,-2.99,.96,1.03,1574,1079,1.93,42.423,.74,2.32,1.28985,4.03669,1,1.45,11.14,12.15799,15.59099,16.6,14.87,27.31,.03,13.87,15.63,3.37,4.54,16.76,1180.10607,9.09,1.64,42.58675,22.22,-3.85639,1389,723,784,784,6.6,5501,1.83,9.24,22.22,YES,
STATE ST CORP,STT,2647.34204,1.85,-.82,-.41,.08,10.66,10.32,4.15,1.35,1.35,4.54,4.88,0,-.36,0,.01122,3.67,2,108.79,92.67,9.23,14.94,4.59,1.04,.03,0,5.37,4.96,0,38.46,1.44,10.94,12.65,77.85,77.85,63.19,100,423.52,2580003.75,32970.95,Finance,YES,BANKS-MAJOR REGIONAL,77.5,13,0,10,0,206,2.21,15.38,5,2,0,0,6,46.15,NYSE,10506.36523,5.85,19887,8396,491,9699,90131,0,15581,20.44,.21,,.03977,117.063,47.04,213214,-3.47,1.22,1.25,93,3679,.47,29.88199,.45,.42,.34964,.57194,1.03999,1.31,.81,1.0046,7.217,15.7,7.06,10.7,.06,12.32,14.5,3.14,1.65,15.95,3297.09521,7,1.54,-5.55301,.73,3.63901,2774.58911,2136,3004,2686,6.08,10304,2.24,5.88,.73,YES,
SEAGATE TECH,STX,3719,-2.09,-4.45,-5.63,.48,7.2,0,1.96,1.34,1.34,5.04,5.1,0,-1.09,5.12,.03639,8.07,-4.37,103.47,101.93,4.31,-5.08,5.05,1.29,.06,-1.46,5.87,5.26,0,40,2.47,7.09,11.2,62.53,64.17,47.05,90.42,327.24,3606239.25,20462.26,Computer and Technology,YES,COMP-STORAGE DEV,65.67,20,0,13,2.68,26,2.1,5,8,1,0,0,11,55,NSDQ,14531.60253,3.96,2832,896,0,3920,5777,985,1729,12.35,.11,10.491,1.52369,36.199,9.01,2398,1.32,1.25,1.37,9878,2630,2.15,56.388,1.29,2,1.27731,8.1441,1.66999,2.77,18.81,19.68499,31.12899,11.89,26.91,63.46,.05,7.76,10.66,1.46,6.94,12.26,1364.15039,8.62,3.45,-14.58107,-8.85,-14.58107,2630,1570,1751,1556,11.34,13724,1.38,33.06,-8.85,YES,
CONSTELLATN BRD,STZ,1500.23303,0,0,0,2.25,-3.48,16.3,10.07,1.11,1.11,3.25,4.09,0,-.07,-8.33,.00365,10.29,70.62,102.5,101.58,30.46,48.4,3.19,.93,.01,,4.75,4.24,0,14.29,1.07,9.3,8.28,93.53,93.53,65.65,100,192.87,1233542.88,18039.22,Consumer Staples,YES,BEVERAGES-ALCOH,93.86,7,0,9,0,118,2.14,14.29,1,1,0,0,5,71.43,NYSE,5988.72021,4.61,4981.2998,9377.90039,0,6373.2998,2747.19995,1743.80004,626.20001,12.88,.36,1.88769,.43608,,28.49,2025.69995,20.93,1.15,1.13,2876,2692.3999,1.51,53.53799,1.15,.5,.1862,9.73939,0,0,5.62,5.3779,7.04689,22.06,7.03,15.9,.01,22.18,19.7,2.85,3.29,22.87,3006.53735,16.5,0,468.57373,-56.36,401.05725,808.59997,1943.09997,2525.5,2202.30004,32.89,5411,1.34,17.98,-56.36,YES,
STANLEY B&D INC,SWK,2976.87304,.48,-2.41,-4.95,-.21,7.64,4.38,5.97,1.54999,1.55,4.98,5.37,0,-1.3,2.27,.00281,19.73,7.96,114.92,97.87,11.56,6.64,4.95,1.21,.02,0,6.19,5.56,0,50,1.57,4.84,12.15,94.4,94.4,75.64,100,156.65,1435857.88,14787.95,Industrial Products,YES,MACH TLS&RL PRD,96.1,14,0,3,2.86,183,2.43,7.14,7,1,0,0,6,42.86,NYSE,11402.41113,2.53,6880.5,10632.90039,0,3799.3999,3968.69995,1485.19995,1633,7.53,.04,4.3705,.67607,11.258,44.97,3221,6.46,1.44,1.52,7068.2998,1188.30004,1.31,35.381,.55,.77,.26404,6.40479,1.98,2.42,5.09,4.79809,7.62449,16.99,7.87,12.18,.02,13.61,15.26,1.3,2.1,17.58,1232.32922,10.53,2.2,-31.41063,-27.54,-44.52365,1226.60803,490.29998,747,586.59997,16.99,11001.2,1.61,11.64,-27.54,YES,
SOUTHWESTRN ENE,SWN,1001.19299,-3.43,-3.98,-8.47,-3.92,-3.85,1.72,1.62,.5,.5,2,2.29,0,-.83,-53.43,.04091,10.93,24.17,100.23,108.25,14.8,43.88,1.99,.61,.13,-1.85,2.45,2.3,0,61.9,.99,-8.82,5.12,35.55,48.93,31.1,24.96,353.11,8483102,12553.24,Oils-Energy,YES,OIL-US EXP&PROD,42.75,21,0,82,6.32,54,2.41,4.76,13,1,0,0,7,33.33,NYSE,4105.47509,12.93,3622.03002,0,0,1950.08996,644.16998,37.74,464.04,20.21,.21,25.301,.46132,,12.16,688.01,-17.75,.52,.54,781.61999,2022.51,.74,29.611,.42,.88,.20695,8.06219,0,0,9.32,9.30519,13.545,15.48,13.89,20.43,.24,8.37,14.52,3.15,2.92,15.52,697.40209,8.96,0,674.88055,271.96,199.4965,1494.41394,703.5,1231.95996,1190.36999,-9.61,3371.15,1.73,5.86,271.96,YES,
SAFEWAY INC,SWY,11690.0996,-.44,0,.27,0,33.33,-16,-8.97,.15999,.16,1.1,.96,0,-3.38,0,.12767,-1.75,-18.25,118.24,391.67,1.82,-48.84,1.01,.29,.07,-4.76,1.28,1.12,0,100,1.05,.66,2.41,34.88,39.48,30.06,51.17,230.5,1827803.63,8039.84,Retail-Wholesale,YES,RETAIL-SUPERMKT,35.33,10,0,11,0,226,3,0,10,0,0,0,0,0,NYSE,36566.10156,.29,5875.10009,464.5,0,3890.80004,8463.70019,2089.60009,1211.40002,.64,.1,11.993,2.46339,18.88299,24.07,5856.3999,-2.55,.12,.63,26645.0996,1552.90002,1.57,33.08399,.49,1.09,.88154,52.84799,.77499,2.69,1.57,3.35089,5.4952,31.14,2.52,4.06,,7.1,27.14,.22,1.45,36.33,1607.96813,11.67,2.64,543.44122,664.81,488.01339,1211.72497,3507.5,609,336,7.09,36139.1,2.67,-6.12,664.81,YES,
STRYKER CORP,SYK,2634.79394,-.26,-1.28,-1.67,-.15,.88,-.92,-.49,1.14999,1.15,4.23,4.52,0,-1.64,-1.73,.00214,7.23,4.2,118.89,127.16,12.4,3.93,4.23,1.19,0,0,5.2,4.75,0,36.84,.98,9.43,6.79,88.55,88.55,71.56,100,378.32,1645081.38,33500.33,Medical,YES,MED PRODUCTS,89.38,19,0,47,-2.21,25,1.76,0,7,0,0,0,12,63.16,NYSE,9682.50781,1.73,9047,5833,0,2739,8335,1422,1518,18.16,.11,2.1066,.57168,18.98399,22.8,2657,7.24,1.14,1.46,2977,1381,2.21,27.25399,.37,2.6,2.03048,6.3712,1.1,1.41,10.38,12.152,15.92099,18.62,14.66,19.36,.02,18.77,17.02,3.52,3.88,19.59,1763.17517,8.51,1.38,-32.10527,-18.2,-22.49615,1785,1006,1212,1212,17.85,9021,2.19,8.95,-18.2,YES,
SYMANTEC CORP,SYMC,1686.34704,3.55,0,-3.68,0,16.22,10.81,15.16,.43,.43,1.77,1.74,0,.95,.25,.05789,3.7,-3.33,92.71,103.49,-1.13,12.03,1.7,.46,.02,0,1.86,1.75,0,72.22,.89,3,6.95,25.07,25.2,18.2,98.14,690.31,6060730,17306.1,Computer and Technology,YES,COMP-SOFTWARE,24.69,18,-.02,75,2.49,53,2.69,5.56,13,1,0,0,4,22.22,NSDQ,6682.74609,.89,5797,6626,0,2095,5652,14,1007,18.64,.13,94.041,.507,,8.44,4306,-3.25,.37,.44,1149,1738,1.25,26.409,.3,1.31,1.07547,8.4916,.6,.7,9.18,8.86279,16.059,14.33,15.9,20.83,.04,9.96,13.45,2.59,2.93,14.41,4326.52441,6.7,2.39,30.26666,22.81,18.94039,1741.77404,898,1240,1156,6.32,6676,2.14,6.88,22.81,YES,
SYSCO CORP,SYY,11878.33203,.78,-1.72,-3.85,0,4,2.04,5.89,.51999,.52,1.76,1.87,0,-.92,18.08,.02679,5.97,4.74,83.59,75.55,7.22,-17.76,1.78,.41,.11,0,2.03,1.89,0,77.78,.75,.9,2.26,37.99,38.75,33.09,86.57,587.88,3393797.5,22333.71,Consumer Staples,YES,FOOD-MISC/DIVERSIFIED,35.67,9,0,45,0,169,3.44,22.22,7,2,0,0,0,0,NYSE,49144.1914,-1.5,5266.68994,2127.88989,0,2384.15991,6681.97021,2602.01,3398.70996,2.4,.02,14.861,3.5546,3.7476,9.01,4367.62988,-4.24,.5,.39,38335.67968,2155.41992,1.57,31.162,.49,.93,.15597,13.659,1.13999,3.45,8.3,10.16499,16.47599,20.13,13.9,20.76,.09,13.95,18.74,.47,4.17,20.32,3190.53076,5.55,3.05,-6.13587,-6.72,-6.13551,1591.99804,931.53002,1599.35998,1475.61999,5.24,46516.71,3.63,3.14,-6.72,YES,
AT&T INC,T,34580.69531,-1.18,-1.09,-1.93,-.55,-1.56,-1.59,1.07,.62999,.63,2.5,2.49,0,-2.33,7.33,.01389,1.26,1.03,113.58,95.56,2.84,8.23,2.47,.68,.04,0,2.65,2.57,0,56.52,.44,-.54,.17,34.72,36.74,31.86,58.61,5185,25741124,180023.22,Utilities,YES,DIVERSIFIED COMM SERVICES,36.5,23,.06,17,-5.22,199,2.39,4.35,13,1,0,0,9,39.13,NYSE,132878.39062,.61,91482,131485,0,69290,23196,0,12918,9.9,.14,,.45842,2.33189,17.96,34995,-10.14,.64,.6,51464,50112,.65,43.09299,.76,.66,.29369,9.99699,1.79999,5.6,4.54,4.9147,8.08539,13.5,7.95,14.1,.02,5.74,13.1,1.37,1.93,13.94,9474.90625,4.99,5.3,145.56164,128.83,151.22521,31851.3496,18249,31717,27777,-1.25,128752,2.7,3.16,128.83,YES,
MOLSON COORS-B,TAP,1012.75,-.6,0,-.44,-.17,-2.67,9.03,14.82,1.46,1.46,3.95,4.26,0,-1.01,3.18,.02127,9.87,6.85,110.78,51.6,9.37,1.02,3.99,.52,.05,1.33,4.3,4.32,0,57.14,.86,2.87,4.69,77.05,77.46,51.32,98.43,163.35,1780722.38,12586.43,Consumer Staples,YES,BEVERAGES-ALCOH,73.6,7,0,7,0,118,2.14,0,4,0,0,0,3,42.86,NYSE,4189.83593,5.66,8663.7998,9243.7998,0,3213,1537.69995,205.3,603.59997,13.1,.09,10,.38466,7.53999,55.02,2142.10009,24.87,1.5,.75,2545.60009,1179.09997,.69,26.31399,.28,.62,.34022,8.15569,1.27999,2.59,5.14,5.2442,7.05439,17.84,6.65,9.13,.04,11.68,17.9,2.1,1.49,18.09,2517.2854,6.33,1.92,23.61983,11.21,28.05868,1067.90002,567.29998,838.29998,654.5,37.22,5999.6,2.82,3.04,11.21,YES,
TERADATA CORP,TDC,805.75,.94,0,0,0,6.45,8.2,10.12,.66,.66,2.56,2.65,0,0,0,.00263,12.15,1.01,107.54,136.87,4.88,-4.48,2.5,.48,.04,,2.89,2.68,0,69.23,.84,-.44,3.72,42.68,49.19,39.52,32.68,155,2082653.25,6615.4,Computer and Technology,YES,COMP-STORAGE DEV,46,13,-.02,16,.59,26,2.77,7.69,9,1,0,0,3,23.08,NYSE,2775.98095,3.09,1857,1095,0,248,1563,56,717,15.66,.14,23.18099,.87452,,11.81,776,-14.62,.62,.9,1219,655,1.95,10.781,.11,1.94,1.01804,4.52729,0,0,13.68,15.62699,24.159,15.9,20.3,22.94,,12.17,14.77,2.41,3.59,16.11,3307.69995,9.1,0,-4.69974,-4.24,-10.02387,573,377,508,508,-6.18,2692,1.75,14.5,-4.24,YES,
TECO ENERGY,TE,669.78997,.54,2.22,36.96,-6.29,-3.03,3.7,1.31,.31999,.32,.95,1.04,0,1.02,25.24,.01822,-4.85,-4.85,100,65.63,8.07,-16.67,.94,.23,.1,0,1.1,1.03,0,80,.64,12.62,10.6,19.72,20.15,16.18,89.17,234.69,2994260.75,4628.13,Utilities,YES,UTIL-ELEC PWR,18.5,10,0,60,18.75,215,2.6,0,8,0,0,0,2,20,NYSE,2814.84594,-.6,2333.69995,0,0,2837.80004,857.70001,0,288.70001,8.2,.07,12.57999,.35771,2.17849,11.15,765.40002,4.09,.33,.21,1843,806.70001,.8,56.311,1.29,1.12,.7434,9.46809,.87999,4.94,2.93,3.4149,4.8084,19.21,4.25,9.5,.18,8.03,17.91,1.66,1.77,18.96,514.2362,6.45,4.46,17.1978,-19.52,-7.05219,533.5,197.69999,477.20001,306.70001,14.39,2851.3,2.98,-5.49,-19.52,YES,
INTEGRYS ENERGY,TEG,615,-12.26,0,3.88,-5.88,-12.5,-57.45,-17.54,.34999,.35,3.53,3.27,20,0,0,.03267,-4.17,33.76,108.08,305.71,-13.6,8.28,3.5,1.8,0,0,3.76,3.05,0,80,.69,8.98,9.57,72.34,74.02,52.28,92.27,79.96,475772.34,5784.52,Utilities,YES,UTIL-ELEC PWR,73,5,.4,65,-13.33,215,3.4,20,4,1,1,0,0,0,NYSE,5710,-.81,3262.30004,662.09997,51.09999,2956.19995,1972.19995,254.8,1052.09997,3.69,.06,18.356,.63499,0,41.37,1622.09997,20.99,.4,1.07,4699.8999,955.59997,1.08,46.80699,.88,1.06,.41014,6.94309,2.72,5.2,2.33,2.46519,4.9464,23.72,4.31,8.05,,10.45,19.24,.8,1.73,22.12,5784.52294,5,3.76,4.17845,29.35,24.74516,552.61999,354.89999,689,560.79998,32.95,5634.6,4.74,6.66,29.35,YES,
TE CONNECT-LTD,TEL,3505.39599,-.37,-.96,-4.29,-.28,2,1.01,3.47,1.01999,1.02,3.23,3.79,0,.19,0,.00851,4,4.76,110.1,88.52,11.8,12.94,3.78,1.03,.01,0,4.64,4.22,0,25,1.62,.02,13.41,62.15,64.97,50.94,79.9,409.26,2615597.75,25435.76,Computer and Technology,YES,ELEC-MISC COMPONENTS,67.88,8,0,16,0,58,1.69,0,2,0,0,0,6,75,NYSE,15093.69531,4.79,9013,5924,0,3281,7544,1745,2439,11.37,.13,5.0932,.73131,14.595,22.02,3954,2.62,1,.9,9220,2744,1.91,26.68799,.36,1.47,.84977,5.77979,1.08,2.15,8.32,6.9791,12.33899,14.71,13.9,18.14,.02,10.57,13.39,1.83,2.82,16.4,3633.67968,15,1.87,17.12062,39.58,39.5768,2406,1781,2127,1996,12.77,13912,.98,16.83,39.58,YES,
TARGET CORP,TGT,22022.47851,-1.04,0,0,-.53,0,0,22.56,.77999,.78,4.38,3.62,0,-.03,0,.04017,3,.88,146.23,,-27.71,-7.98,3.15,.86,.04,-6.38,3.81,3.17,0,55,.54,5.36,.47,61.89,66.89,55.07,57.7,633.72,4278116.5,39220.68,Retail-Wholesale,YES,RETAIL-DISCOUNT,58,20,0,13,0,184,2.82,20,11,4,0,0,5,25,NYSE,74012.69531,.18,16231,0,0,12622,11573,8766,0,3.15,.03,5.70629,1.63259,23.82699,25.93,12777,-10.99,.47,1.23,51160,6452,1.02,45.73899,,.22,.21969,,1.58,2.16,5.14,6.3291,9.4644,19.55,7.88,14.13,.09,7.78,16.22,.54,2.39,17.1,2451.29272,9.61,3.36,,-44.11,-34.2781,5034.75781,1971,4229,3103,-2.18,72596,2.03,6.29,-44.11,YES,
TENET HEALTH,THC,4301.43798,9.29,-5.74,-6.17,1.63,260,,,.36,.36,2.06,.84,0,-6.22,.33,.05582,6.19,21.75,287.3,343.17,-20.06,21.18,1.78,.57,.08,-2.42,2.81,1.65,0,37.5,1.85,-12.72,-8.56,51.18,63.27,38.75,50.69,98.28,2134374.5,5029.97,Medical,YES,MED-HOSPITALS,62.96,16,0,6,0,93,2.06,6.25,6,1,0,0,9,56.25,NYSE,16382.76953,-7.67,878,4234,0,10690,3710,262,2038,.7,-.01,39.14899,.995,,8.94,2928,10.57,.1,1.24,7155,880,1.34,92.611,13.23,1.18,.48155,7.52169,0,0,.5,2.1098,3.1064,31.08,.99,9.68,.35,6.56,18.23,.31,5.79,60.93,558.88568,12.33,0,-12.19513,-58.7,-188.1579,773.58001,-134,316,-158,21.51,11102,2.52,10.34,-58.7,YES,
TIFFANY & CO,TIF,1375.56701,-.34,2.56,-.4,-.98,11.63,25.97,15.04,.95999,.96,3.73,4.13,0,.24,1.83,.01944,10.4,6.24,225.25,,16.2,14.77,3.78,1.1,.04,0,4.93,4.33,0,55.56,1.76,1.04,5.8,98,103.47,78.24,78.32,129.29,1076936.88,12670.91,Retail-Wholesale,YES,RETAIL-JEWELRY,106.5,18,0,3,.95,89,2.17,0,10,0,0,0,8,44.44,NYSE,4349.93017,2.88,2733.95996,0,0,751.15002,3228.37988,2326.58007,188.80999,12.67,.04,.7117,.86934,15.23299,22.82,696.73999,-3.88,.77,1.64,1690.68005,488.67999,5.15,20.302,,1.29,1.02332,22.797,1.34,1.77,11.02,10.258,14.11499,22.61,14.87,18.81,.04,19.25,19.86,3.01,4.3,23.73,791.93194,13.24,1.55,,-44.42,-56.41956,651.72698,181.36,317.51,254.86,5.63,4031.13,1.71,14.09,-44.42,YES,
TJX COS INC NEW,TJX,8385.66992,-.02,0,0,0,2.74,-4.65,-.74,.75,.75,2.83,2.95,0,0,0,.00659,7.87,5.97,125.74,,12.23,10.98,2.85,.73,.01,,3.58,3.18,0,42.11,.6,19.64,6.73,64.56,64.56,52.23,100,692.94,4304885,44736.34,Retail-Wholesale,YES,RETAIL-DISCOUNT,64.86,19,-.11,6,0,184,1.89,0,8,0,0,0,11,57.89,NYSE,29254.26171,2.07,4229.89013,312.67999,0,1274.20996,6067.99023,2966.48999,210.08999,7.48,.08,6.1086,2.67149,24.72299,6.1,3517.84008,-7.82,.85,.94,19605.03906,3899.37988,1.72,27.52899,,.88,.82192,117.58399,.55,1.21,19.98,19.16799,39.27899,20.33,37.72,49.87,.02,17.62,18.06,1.59,10.58,21.89,2796.02099,11.85,1.08,,8.77,12.10008,2606.31494,2137.38989,3350.56005,3319.47998,1.3,27422.7,1.72,18.99,8.77,YES,
TORCHMARK CORP,TMK,980.74798,-1.86,-3.11,-4.02,-.13,-2.94,-.97,-.65,.99,.99,3.8,4,0,-3.07,-5.16,.0017,3.66,5.08,102.91,101.18,5.91,10.04,3.8,1.05,.01,0,4.36,4.02,0,66.67,1.11,-.28,2.97,53.4,55.68,48.37,68.82,130.59,905913.31,6973.45,Finance,YES,INS-LIFE,54.13,12,-.15,19,4.88,208,3,16.67,8,2,0,0,2,16.67,NYSE,3931.17089,2.3,3776.34008,441.58999,0,990.85998,644.96997,0,531.14001,14.06,.14,,.20153,13.68599,34.23,11877.07031,-6.73,1.02,1,2310.27001,1246.95996,.06,18.02599,,.05,.00958,6.5862,.55333,1.02,2.83,2.99189,10.87699,13.27,10.44,12.93,.01,7.59,12.26,1.82,1.56,13.36,633.95025,8.57,.95,.65357,.44,-.1606,934.052,528.46997,843.58001,763.11999,2.5,3771.94,1.55,10.27,.44,YES,
THERMO FISHER,TMO,4386.86181,-.17,-1.27,-1.93,.24,1.18,6.17,4.87,1.71,1.71,5.42,6.39,0,-1.88,-1.69,.00224,8.05,4.64,135.94,113.68,27.63,9.72,5.36,1.83,.01,0,7.74,6.92,0,0,.92,-2.36,.93,118.91,126.67,96.16,74.57,400.02,2566104.75,47566.98,Medical,YES,MED INSTRUMENTS,139.42,13,0,31,0,23,1.12,0,0,0,0,0,13,100,NYSE,16790.29101,1.99,16856.0996,19574.5996,0,9499.5996,9880.70019,1494.5,1942.30004,15.92,.1,4.8534,.38457,6.4435,51.36,3126,-2.82,1.69,1.94,7561.20019,2319.3999,.92,35.70199,.56,2.68,2.06138,6.4717,.6,.37,6.12,6.5569,8.203,17.19,7.95,12.88,.03,14.41,15.36,3,2.32,18.61,4324.2705,13.27,.5,15.69041,25.06,8.09916,2981.60009,1273.30004,1319.5,1319.5,6.79,13090.3,1.3,15.89,25.06,YES,
TRIPADVISOR INC,TRIP,287.07,-3.19,-2.95,-6.71,.5,-23.53,-9.43,-5.37,.38999,.39,1.44,1.5,0,-2.91,-9.73,.05317,21.96,23.81,213.33,82.05,21.28,2.86,1.43,.61,.14,-3.13,2.36,1.75,0,55,1.83,-23.68,-13.86,74.005,110.21,71.95,5.37,142.78,2875149.75,10566.73,Computer and Technology,YES,INTERNET CONTENT,93.7,20,.25,20,-9.25,168,2.3,5,11,1,0,0,8,40,NSDQ,1244.57995,-14.26,864.47998,553.82,0,300,630.28002,0,127.15,20.31,.22,,.67333,,7.19,242.88,-18.7,.51,.32,17.70999,335.67999,1.9,21.44,.25,2.6,2.07151,6.3916,0,0,13.19,33.463,42.991,42.38,17.98,23.14,.07,42.03,31.41,9.03,9.73,49.34,960.61169,24.69,0,-4.53142,-3.87,5.86416,250.42199,205.44,294.76998,284.70001,-10.65,944.66,1.72,9.89,-3.87,YES,
T ROWE PRICE,TROW,1018.17901,-1.54,-1.65,-2.55,-1.4,-2.61,.89,.79,1.12,1.12,3.9,4.36,0,-2.89,-3.27,.01099,14.69,15.24,107.29,101.54,15.84,16.07,3.86,1.12,.03,-.88,4.88,4.52,0,43.75,1.4,4.97,8.53,82.45,85.63,73.94,72.8,259.39,1853378.38,21386.54,Finance,YES,FIN-INVEST MGMT,89,16,0,24,0,147,1.88,0,7,0,0,0,9,56.25,NSDQ,3971.21997,1.97,4818.10009,665.70001,0,0,1796.80004,0,398.79998,30.08,.3,,.70933,12.29899,20.15,215,-10.44,1.15,1.14,0,1791.40002,3.83,0,0,8.36,6.50232,9.3268,1.51999,2.07,21.33,19.80299,22.193,18.25,22.99,22.99,.03,19.14,16.88,5.5,4.09,18.91,1645.1184,13.94,2.13,20.2288,20.8,18.57174,1129.40002,1047.69995,1700.40002,1700.40002,-1.58,3483.2,1.31,17.82,20.8,YES,
TRAVELERS COS,TRV,6593.75,4.71,2.82,.95,11.38,18.64,-6.31,18.58,2.60999,2.61,9.46,10.18,0,1.48,0,.02412,1.6,1.75,91.04,93.49,3.55,52.33,8.95,2.57,.04,-.41,9.28,9.8,0,52.38,.87,10.51,8.54,101.91,101.91,80.26,100,331.4,2807484.5,33772.98,Finance,YES,INS-PROP&CASLTY,98.44,21,0,32,-2.2,197,2.1,0,11,0,0,0,10,47.62,NYSE,26446.3164,1.91,24796,3985,0,6346,25877,0,21701,13.27,.14,,.25993,11.435,76.41,67371,2.43,2.2,2.44,13307,9994,.4,20.045,.25,.38,.06198,1.24629,1.96,2.56,3.45,2.6798,8.83769,10.4,11.39,14.25,.05,4.49,10.98,1.25,1.33,10.01,2110.81103,7.67,2.16,20.00669,21.85,48.52405,8255,3673,5306,4945,12.56,26191,1.36,12.45,21.85,YES,
TRACTOR SUPPLY,TSCO,1572.39697,2.25,-1.67,2.36,.12,7.84,0,1.76,.55,.55,2.32,2.53,0,1.56,.33,.00584,12.46,10.73,112.01,138.49,12.45,22.11,2.29,.41,.02,0,3.01,2.61,0,40.91,1.1,19.94,27.59,74.4,77.58,57.15,84.43,135.94,1475376,10113.86,Retail-Wholesale,YES,RETAIL-MISC/DIV,74.44,22,0,12,4.54,131,1.91,0,9,0,0,0,13,59.09,NSDQ,5697.02587,2.9,1246.89001,10.25,0,1.2,1209.23999,979.29998,0,6.4,.06,3.1382,2.7123,47.73899,8.94,532.14001,-12.73,.51,.76,3411.16992,614.65997,2.11,11.064,.12,.43,.4321,,.49,.71,17.36,14.31,23.41099,28.52,27.36,28.68,.03,24.25,24.71,1.82,8.33,29.41,532.30853,17.14,.86,15.40725,13.75,18.73032,428.25399,328.23001,514.64001,514.09002,-4.1,5164.78,1.66,27.69,13.75,YES,
TYSON FOODS  A,TSN,10080.41992,-.73,-1.66,-3.05,-.65,-9.64,-1.64,.24,.75,.75,2.26,2.77,0,.41,,.02674,6.49,3.29,120.95,,19.03,18.32,2.84,.79,.12,0,3.23,3.38,0,0,.46,10.48,1.39,41.53,44.01,27.56,84.92,351.7,3549003.25,14605.98,Consumer Staples,YES,FOOD-MEAT PRODS,48,5,0,1,0,232,1.2,0,0,0,0,0,5,100,NYSE,42289.55078,4.82,6233,2040,0,1895,5604,2817,1497,2.74,,11.60599,3.0332,13.118,19.06,3010,12.94,.77,.85,32016,2395,2.11,21.003,,,,23.593,.275,.87,8.3,6.6374,9.50839,12.3,12,15.47,.06,8.03,12.86,.4,2.18,14.99,3651.49389,,.72,,40.74,33.44768,1822.65002,778,1402,1257,24.12,34374,,22.63,40.74,YES,
